Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 866,https://www.congress.gov,116,Public Law,PL,Fairness For Breastfeeding Mothers Act of 2019,,https://www.congress.gov/116/plaws/publ30/PLAW-116publ30.pdf
H.R. 835,https://www.congress.gov,116,Public Law,PL,Rodchenkov Anti-Doping Act of 2019,,https://www.congress.gov/116/plaws/publ206/PLAW-116publ206.pdf
H.R. 831,https://www.congress.gov,116,Public Law,PL,Reviving America's Scenic Byways Act of 2019,,https://www.congress.gov/116/plaws/publ57/PLAW-116publ57.pdf
H.R. 829,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the ""Army Specialist Thomas J. Wilwerth Post Office Building"".",,https://www.congress.gov/116/plaws/publ44/PLAW-116publ44.pdf
H.R. 828,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 25 Route 111 in Smithtown, New York, as the ""Congressman Bill Carney Post Office"".",,https://www.congress.gov/116/plaws/publ43/PLAW-116publ43.pdf
H.R. 777,https://www.congress.gov,116,Public Law,PL,Debbie Smith Reauthorization Act of 2019,,https://www.congress.gov/116/plaws/publ104/PLAW-116publ104.pdf
H.R. 776,https://www.congress.gov,116,Public Law,PL,Emergency Medical Services for Children Program Reauthorization Act of 2019,,https://www.congress.gov/116/plaws/publ49/PLAW-116publ49.pdf
H.R. 748,https://www.congress.gov,116,Public Law,PL,CARES Act,,https://www.congress.gov/116/plaws/publ136/PLAW-116publ136.pdf
H.R. 724,https://www.congress.gov,116,Public Law,PL,Preventing Animal Cruelty and Torture Act,,https://www.congress.gov/116/plaws/publ72/PLAW-116publ72.pdf
H.R. 639,https://www.congress.gov,116,Public Law,PL,To amend section 327 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that National Urban Search and Rescue Response System task forces may include Federal employees.,,https://www.congress.gov/116/plaws/publ48/PLAW-116publ48.pdf
H.R. 583,https://www.congress.gov,116,Public Law,PL,Preventing Illegal Radio Abuse Through Enforcement Act,,https://www.congress.gov/116/plaws/publ109/PLAW-116publ109.pdf
